ID темы,Название,Раздел,Автор,Email автора,Роль автора,Дата создания,Закреплена,Просмотров,Средний рейтинг,Количество постов,Теги,Последний пост
1,Правила форума,Общие вопросы,admin,admin@gadukagang.com,Super Admin,2025-12-01 13:23:02,Нет,0,2.83,5,tutorial,2025-12-01 13:23
2,"Представьтесь, пожалуйста",Общие вопросы,admin,admin@gadukagang.com,Super Admin,2025-12-01 13:23:02,Нет,0,3.25,7,beginner,2025-12-01 13:23
3,Лучшие практики написания кода на Python,Python,user3,user3@gadukagang.com,User,2025-12-01 13:23:02,Нет,1,3.2,5,"python, advanced",2025-12-01 13:23
4,Как начать изучать Python с нуля?,Python,user2,user2@gadukagang.com,User,2025-12-01 13:23:02,Нет,0,4.0,8,"python, beginner",2025-12-01 13:23
5,Django vs Flask: что выбрать?,Python,user1,user1@gadukagang.com,User,2025-12-01 13:23:02,Нет,0,3.22,2,"python, django, flask",2025-12-01 13:23
6,Современные фреймворки для фронтенда,Веб-разработка,user4,user4@gadukagang.com,User,2025-12-01 13:23:02,Нет,0,3.5,7,"javascript, html, css",2025-12-01 13:23
7,REST API: лучшие практики проектирования,Веб-разработка,user3,user3@gadukagang.com,User,2025-12-01 13:23:02,Нет,0,3.4,3,advanced,2025-12-01 13:23
8,PostgreSQL vs MySQL: сравнение,Базы данных,user1,user1@gadukagang.com,User,2025-12-01 13:23:02,Нет,0,4.75,8,sql,2025-12-01 13:23
9,Основы кибербезопасности для разработчиков,Кибербезопасность,user5,user5@gadukagang.com,User,2025-12-01 13:23:02,Нет,0,2.71,3,security,2025-12-01 13:23
10,Обсуждение в сообществе Python разработчики #1,Общие вопросы,user2,user2@gadukagang.com,User,2025-12-01 13:23:02,Нет,0,3.33,1,Нет тегов,2025-12-01 13:23
11,qwe,Python,EclipseSuper,simernin.mat@gmail.com,User,2025-12-01 13:31:17,Нет,1,2.6,1,python,2025-12-01 13:31
12,Дополнительная тема #1 от user3,Кибербезопасность,user3,user3@gadukagang.com,User,2025-12-01 13:33:32,Нет,0,0.0,12,Нет тегов,2025-12-01 13:33
13,Дополнительная тема #2 от user4,Мобильная разработка,user4,user4@gadukagang.com,User,2025-12-01 13:33:32,Нет,0,0.0,2,Нет тегов,2025-12-01 13:33
14,Дополнительная тема #3 от user2,Python,user2,user2@gadukagang.com,User,2025-12-01 13:33:32,Нет,0,0.0,13,Нет тегов,2025-12-01 13:33
15,Дополнительная тема #4 от user3,Мобильная разработка,user3,user3@gadukagang.com,User,2025-12-01 13:33:32,Нет,0,0.0,3,Нет тегов,2025-12-01 13:33
16,Дополнительная тема #5 от EclipseSuper,Общие вопросы,EclipseSuper,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,12,Нет тегов,2025-12-01 13:33
17,Дополнительная тема #6 от EclipseMail,Общие вопросы,EclipseMail,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,16,Нет тегов,2025-12-01 13:33
18,Дополнительная тема #7 от moderator2,Общие вопросы,moderator2,mod2@gadukagang.com,Moderator,2025-12-01 13:33:32,Нет,0,0.0,5,Нет тегов,2025-12-01 13:33
19,Дополнительная тема #8 от user4,Python,user4,user4@gadukagang.com,User,2025-12-01 13:33:32,Нет,1,0.0,4,Нет тегов,2025-12-01 13:33
20,Дополнительная тема #9 от EclipseSuper,Мобильная разработка,EclipseSuper,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,4,Нет тегов,2025-12-01 13:33
21,Дополнительная тема #10 от user1,Python,user1,user1@gadukagang.com,User,2025-12-01 13:33:32,Нет,0,0.0,11,Нет тегов,2025-12-01 13:33
22,Дополнительная тема #11 от EclipseModer,Базы данных,EclipseModer,simernin.mat@gmail.com,Moderator,2025-12-01 13:33:32,Нет,0,0.0,6,Нет тегов,2025-12-01 13:33
23,Дополнительная тема #12 от admin,Общие вопросы,admin,admin@gadukagang.com,Super Admin,2025-12-01 13:33:32,Нет,0,0.0,8,Нет тегов,2025-12-01 13:33
24,Дополнительная тема #13 от eclipse,Кибербезопасность,eclipse,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,5,Нет тегов,2025-12-01 13:33
25,Дополнительная тема #14 от moderator1,Веб-разработка,moderator1,mod1@gadukagang.com,Moderator,2025-12-01 13:33:32,Нет,0,0.0,16,Нет тегов,2025-12-01 13:33
26,Дополнительная тема #15 от eclipse,Веб-разработка,eclipse,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,13,Нет тегов,2025-12-01 13:33
27,Дополнительная тема #16 от moderator2,Веб-разработка,moderator2,mod2@gadukagang.com,Moderator,2025-12-01 13:33:32,Нет,0,0.0,4,Нет тегов,2025-12-01 13:33
28,Дополнительная тема #17 от EclipseSuper,Кибербезопасность,EclipseSuper,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,6,Нет тегов,2025-12-01 13:33
29,Дополнительная тема #18 от EclipseMail,Python,EclipseMail,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,2,Нет тегов,2025-12-01 13:33
30,Дополнительная тема #19 от eclipse,Веб-разработка,eclipse,simernin.mat@gmail.com,User,2025-12-01 13:33:32,Нет,0,0.0,9,Нет тегов,2025-12-01 13:33
31,Дополнительная тема #20 от EclipseModer,Общие вопросы,EclipseModer,simernin.mat@gmail.com,Moderator,2025-12-01 13:33:32,Нет,1,0.0,6,Нет тегов,2025-12-01 13:33
32,Тема в сообществе Python разработчики #1,Общие вопросы,moderator1,mod1@gadukagang.com,Moderator,2025-12-01 13:33:32,Нет,0,0.0,3,Нет тегов,2025-12-01 13:33
33,тема,Сообщества,EclipseSuper,simernin.mat@gmail.com,User,2025-12-01 16:46:38,Нет,0,0.0,1,Нет тегов,2025-12-01 16:46
34,тема,Сообщества,EclipseSuper,simernin.mat@gmail.com,User,2025-12-01 16:46:42,Нет,0,0.0,1,Нет тегов,2025-12-01 16:46
36,ЙЦУЙЦУЦ,Сообщества,EclipseSuper,simernin.mat@gmail.com,User,2025-12-03 08:59:17,Нет,2,5.0,1,Нет тегов,2025-12-26 20:29
37,132,Веб-разработка,EclipseSuper,simernin.mat@gmail.com,User,2025-12-03 09:05:23,Нет,1,0.0,0,Нет тегов,Нет постов
38,фывфыв,Веб-разработка,EclipseSuper,simernin.mat@gmail.com,User,2025-12-03 09:08:19,Нет,1,0.0,0,Нет тегов,Нет постов
39,йцуйцу,Веб-разработка,EclipseSuper,simernin.mat@gmail.com,User,2025-12-03 10:04:34,Нет,2,0.0,0,Нет тегов,Нет постов
42,йцу,Сообщества,eclipse,simernin.mat@gmail.com,User,2025-12-26 20:29:20,Нет,2,0.0,1,Нет тегов,2025-12-26 20:29
